player_name,tf_season,days_remaining
Bryan Cristante,2016,884.0
Bryan Cristante,2016,1094.0
Bryan Cristante,2015,1269.0
Rúben Amorim,2016,452.0
Rúben Amorim,2015,
Rúben Amorim,2011,2372.0
Renato Sanches,2016,1825.0
Miralem Sulejmani,2015,1095.0
Nico Gaitán,2016,1094.0
Talisca,2018,546.0
Talisca,2018,730.0
Talisca,2016,1041.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Hany Mukhtar,2017,1095.0
Hany Mukhtar,2016,1441.0
Hany Mukhtar,2015,1768.0
Ola John,2017,729.0
Ola John,2016,898.0
Ola John,2016,1041.0
Ola John,2015,1033.0
Ola John,2013,1990.0
Bebé,2016,718.0
Bebé,2015,1086.0
Bebé,2014,1269.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
Hélder Costa,2016,516.0
Hélder Costa,2016,
Hélder Costa,2015,
Jonas,2019,357.0
Gonçalo Guedes,2022,0.0
Gonçalo Guedes,2016,1617.0
Lima,2015,342.0
Nélson Oliveira,2016,669.0
Nélson Oliveira,2015,1033.0
Nélson Oliveira,2014,1276.0
Nélson Oliveira,2013,
Nélson Oliveira,2012,
Nélson Oliveira,2010,
Nélson Oliveira,2009,
Derley,2017,331.0
Derley,2016,717.0
Derley,2015,1079.0
Jonathan Rodríguez,2015,365.0
Jonathan Rodríguez,2015,676.0
Rui Fonte,2016,668.0
Franco Jara,2014,
Franco Jara,2013,1055.0
Franco Jara,2012,1435.0
Franco Jara,2011,
Ederson,2017,2190.0
Júlio César,2017,214.0
Paulo Lopes,2018,
Paulo Lopes,2002,
Paulo Lopes,2099,
Victor Lindelöf,2017,1460.0
Lisandro López,2019,546.0
Lisandro López,2018,882.0
Lisandro López,2018,1057.0
Lisandro López,2017,1262.0
Lisandro López,2013,1763.0
Jardel,2021,
Luisão,2018,278.0
Rúben Dias,2020,1370.0
Eliseu,2018,
André Almeida,2022,
André Almeida,2011,4379.0
Nélson Semedo,2017,1447.0
Sílvio,2015,0.0
Andreas Samaris,2021,668.0
Ljubomir Fejsa,2020,279.0
Ljubomir Fejsa,2019,518.0
Bryan Cristante,2018,364.0
Bryan Cristante,2016,884.0
Bryan Cristante,2016,1094.0
Bryan Cristante,2015,1269.0
Renato Sanches,2016,1825.0
Adel Taarabt,2022,279.0
Adel Taarabt,2018,730.0
Adel Taarabt,2016,1267.0
Nico Gaitán,2016,1094.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Talisca,2018,546.0
Talisca,2018,730.0
Talisca,2016,1041.0
Filip Djuricic,2016,516.0
Filip Djuricic,2016,708.0
Filip Djuricic,2015,887.0
Filip Djuricic,2014,1244.0
Filip Djuricic,2014,1438.0
Ola John,2017,729.0
Ola John,2016,898.0
Ola John,2016,1041.0
Ola John,2015,1033.0
Ola John,2013,1990.0
Victor Andrade,2017,1036.0
Victor Andrade,2016,1440.0
Victor Andrade,2015,1611.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
Mehdi Carcela-González,2016,1033.0
Jonas,2019,357.0
Gonçalo Guedes,2022,0.0
Gonçalo Guedes,2016,1617.0
Konstantinos Mitroglou,2017,1034.0
Konstantinos Mitroglou,2015,0.0
Raúl Jiménez,2019,730.0
Raúl Jiménez,2018,730.0
Jonathan Rodríguez,2015,365.0
Jonathan Rodríguez,2015,676.0
Luka Jović,2019,730.0
Luka Jović,2017,1460.0
Ederson,2017,2190.0
Júlio César,2017,214.0
Paulo Lopes,2018,
Paulo Lopes,2002,
Paulo Lopes,2099,
Victor Lindelöf,2017,1460.0
Lisandro López,2019,546.0
Lisandro López,2018,882.0
Lisandro López,2018,1057.0
Lisandro López,2017,1262.0
Lisandro López,2013,1763.0
Jardel,2021,
Luisão,2018,278.0
Yuri Ribeiro,2019,1453.0
Eliseu,2018,
Marcelo Hermes,2018,887.0
Marcelo Hermes,2017,1269.0
Nélson Semedo,2017,1447.0
André Almeida,2022,
André Almeida,2011,4379.0
Pedro Pereira,2022,
Pedro Pereira,2021,342.0
Pedro Pereira,2020,647.0
Pedro Pereira,2019,1058.0
Pedro Pereira,2017,1618.0
Ljubomir Fejsa,2020,279.0
